area_sqm,rooms,age_years,distance_km,floor,price_keur
82.0,2,39.1,1.77,8,186.0
166.9,5,5.2,7.82,3,392.8
48.2,1,49.6,2.67,3,79.2
44.0,1,3.0,4.37,8,112.8
159.5,5,8.7,2.56,4,373.8
49.9,2,11.3,2.21,1,131.6
116.8,4,29.8,9.81,5,224.9
87.4,2,10.8,14.15,1,180.4
118.3,4,52.5,13.27,4,207.7
109.2,3,20.5,16.83,6,206.1
40.7,1,45.9,10.53,5,43.5
107.0,4,4.1,2.14,4,280.8
103.7,3,3.6,12.78,10,217.1
99.6,3,53.2,6.57,7,182.3
86.5,3,29.6,4.32,4,196.4
91.7,3,4.8,8.36,8,220.0
75.3,2,25.8,10.13,6,160.4
90.2,2,5.0,3.15,10,224.9
68.8,2,35.3,5.10,0,147.6
123.4,4,7.5,15.54,9,268.5
130.0,4,27.4,15.74,10,255.5
92.9,2,38.1,1.59,1,194.6
177.8,5,6.6,11.01,1,402.4
49.7,1,1.5,15.80,9,95.6
89.6,3,57.3,11.04,7,158.0
179.0,6,29.0,2.00,1,422.4
143.7,5,28.7,12.61,8,315.4
111.6,3,32.6,0.97,8,257.2
78.2,3,5.5,15.30,8,159.2
146.9,5,46.7,6.27,3,309.1
123.9,4,45.5,3.92,3,266.8
67.9,2,21.3,1.01,0,156.2
149.6,5,11.6,11.09,5,313.9
178.3,6,21.9,4.36,3,415.6
103.2,3,29.0,17.74,9,188.0
129.7,4,5.1,12.06,6,280.8
148.4,5,28.7,3.62,10,329.6
175.9,5,24.1,17.07,2,367.3
59.7,1,9.1,16.33,10,116.3
177.1,6,21.0,10.10,2,400.3
38.1,2,43.6,2.30,2,61.5
154.8,4,15.1,5.63,3,360.4
145.7,4,32.7,15.10,0,290.0
101.4,3,54.3,7.86,8,182.4
54.0,1,30.6,15.77,2,63.5
56.7,1,37.1,2.61,0,109.4
82.3,3,33.3,14.22,1,147.6
62.7,1,5.9,8.41,0,142.3
145.2,5,26.6,11.22,8,301.9
75.2,2,48.4,9.39,3,123.6
136.4,5,56.5,5.04,8,280.9
99.9,3,23.5,6.03,10,218.2
69.9,2,40.2,14.22,2,118.4
88.1,2,8.2,8.69,1,195.0
92.7,3,59.4,15.07,2,130.9
93.6,3,21.4,2.11,5,198.8
37.8,1,26.4,0.82,5,88.1
174.3,5,55.1,4.50,1,360.9
47.2,1,54.4,3.68,2,82.5
133.0,5,24.4,9.89,8,272.7
